id,id_grupo_alimentario,id_subgrupo_alimentario,nombre,precio_libra,factor_parte_comestible,activo
1,1,1,Malta,1.5,1.0,True
2,1,2,Arroz,0.5,1.0,True
3,1,2,Arroz blanco de cocción rápida,0.5,1.0,True
4,1,2,Arroz integral,0.8,1.0,True
5,1,2,Avena,0.5,1.0,True
6,1,2,Cebada,1.0,1.0,True
7,1,2,Centeno,0.7,1.0,True
8,1,2,Fécula de maíz,0.6,1.0,True
9,1,2,Harina de arroz,1.2,1.0,True
10,1,2,Harina de centeno,1.5,1.0,True
11,1,2,Harina de maíz,0.6,1.0,True
12,1,2,Harina de trigo,0.45,1.0,True
13,1,2,Harina integral de trigo,0.7,1.0,True
14,1,2,Máchica,0.8,1.0,True
15,1,2,Maíz en grano hervido en lata,1.8,1.0,True
16,1,2,Maíz en mazorca crudo,0.5,0.59,True
17,1,2,Maíz en mazorca hervido,0.8,0.59,True
18,1,2,Quinoa,1.5,1.0,True
19,1,2,Sémola de trigo,1.1,1.0,True
20,1,3,Masa de hojaldre congelada,2.5,1.0,True
21,1,3,Masa quebrada,2.5,1.0,True
22,1,3,Pan blanco,0.8,1.0,True
23,1,3,Pan blanco sin sal,1.0,1.0,True
24,1,3,Pan blanco tipo baguette,1.2,1.0,True
25,1,3,Pan blanco tostado,1.8,1.0,True
26,1,3,Pan blanco tostado sin sal,2.0,1.0,True
27,1,3,Pan de avena,1.5,1.0,True
28,1,3,Pan de cebada,1.2,1.0,True
29,1,3,Pan de centeno,2.5,1.0,True
30,1,3,Pan de pita,2.0,1.0,True
31,1,3,Pan de trigo y centeno,2.2,1.0,True
32,1,3,Pan integral,1.2,1.0,True
33,1,3,Pan integral tostado,2.0,1.0,True
34,1,3,Pan sin gluten,4.5,1.0,True
35,1,3,Pan tipo hamburguesa,1.5,1.0,True
36,1,3,Pan tipo picatoste con omega 3,3.5,1.0,True
37,1,3,Panecillos hechos con aceite de oliva,2.0,1.0,True
38,1,3,Picatostes,3.0,1.0,True
39,1,4,Cuscús,2.8,1.0,True
40,1,4,Pasta,0.9,1.0,True
41,1,4,Pasta al huevo,1.5,1.0,True
42,1,4,Pasta de colores,1.4,1.0,True
43,1,4,Pasta fresca cocida,3.0,1.0,True
44,1,4,Pasta integral,1.5,1.0,True
45,1,4,Pasta rellena de carne hervida,4.5,1.0,True
46,1,4,Pasta rellena de queso hervida,4.5,1.0,True
47,2,5,Batido fermentado de soja,2.5,1.0,True
48,2,5,Bebida de soja,1.5,1.0,True
49,2,5,Brote de soja,1.5,1.0,True
50,2,5,Fideos de soja,3.0,1.0,True
51,2,5,Hamburguesa vegetal,4.0,1.0,True
52,2,5,Harina de soja,1.8,1.0,True
53,2,5,Lecitina de soja,8.0,1.0,True
54,2,5,Lentejas,0.8,1.0,True
55,2,5,Salchicha vegetal,4.5,1.0,True
56,2,5,Tempeh,4.6,1.0,True
57,2,6,Garbanzo en conserva,1.8,1.0,True
58,2,6,Judía blanca en conserva,1.8,1.0,True
59,2,6,Judía pinta en conserva,1.8,1.0,True
60,2,6,Lenteja en conserva,1.8,1.0,True
61,2,7,Altramuz seco,1.2,1.0,True
62,2,7,Garbanzo,1.0,1.0,True
63,2,7,Haba seca,0.8,1.0,True
64,2,7,Harina de algarrobo,3.5,1.0,True
65,2,7,Judía blanca,1.1,1.0,True
66,2,7,Judía pinta,1.0,1.0,True
67,2,7,Lenteja,0.8,1.0,True
68,2,7,Soja,1.2,1.0,True
69,3,8,Champiñón en conserva,3.0,1.0,True
70,3,9,Champiñón,2.5,0.8,True
71,3,10,Boniato,1.0,0.84,True
72,3,10,Fécula de patata,2.0,1.0,True
73,3,10,Harina de tapioca,1.5,1.0,True
74,3,10,Nabo,0.5,0.75,True
75,3,10,Patata nueva,0.35,0.8,True
76,3,10,Rábano,0.6,0.81,True
77,3,10,Remolacha,0.5,0.8,True
78,3,10,Tapioca,1.5,1.0,True
79,3,10,Yuca,0.4,1.0,True
80,3,10,Zanahoria,0.45,0.87,True
81,3,11,Alcachofa congelada,3.5,1.0,True
82,3,11,Espinaca congelada,2.0,1.0,True
83,3,11,Guisante congelado,2.0,1.0,True
84,3,11,Judía verde congelada,2.0,1.0,True
85,3,12,Esparrago de lata,4.0,1.0,True
86,3,12,Espinaca en conserva,2.5,1.0,True
87,3,12,Guisante en conserva,2.0,1.0,True
88,3,12,Judía verde en conserva,2.0,1.0,True
89,3,12,Palmito en conserva,3.5,1.0,True
90,3,12,Pimiento del piquillo en conserva,5.0,1.0,True
91,3,12,Pimiento morrón en conserva,3.0,1.0,True
92,3,12,Pimiento rojo asado en conserva,3.5,1.0,True
93,3,12,Puerro en conserva,3.0,1.0,True
94,3,13,Acelga,0.5,0.88,True
95,3,13,Ajo,1.5,0.79,True
96,3,13,Alcachofa,2.0,0.48,True
97,3,13,Apio,0.6,0.8,True
98,3,13,Berenjena,0.8,0.85,True
99,3,13,Berro,1.0,0.62,True
100,3,13,Borraja,1.5,0.8,True
101,3,13,Brécol,1.5,0.61,True
102,3,13,Calabacín,0.6,0.88,True
103,3,13,Calabaza,0.4,0.67,True
104,3,13,Cebolla,0.4,0.91,True
105,3,13,Chile rojo,1.5,1.0,True
106,3,13,Chile verde,1.5,1.0,True
107,3,13,Chirivía,2.0,1.0,True
108,3,13,Col,0.4,0.77,True
109,3,13,Col de Bruselas,2.5,0.78,True
110,3,13,Col rizada,2.0,0.85,True
111,3,13,Coliflor,0.6,0.8,True
112,3,13,Escarola,1.0,0.79,True
113,3,13,Espinaca,0.6,0.81,True
114,3,13,Guisante verde,1.0,0.37,True
115,3,13,Haba fresca,0.8,0.4,True
116,3,13,Judía verde,0.7,0.91,True
117,3,13,Lechuga,0.5,0.74,True
118,3,13,Lombarda,0.6,0.81,True
119,3,13,Nopal,1.5,0.96,True
120,3,13,Pepino,0.4,0.77,True
121,3,13,Pimiento rojo,0.9,0.83,True
122,3,13,Pimiento verde,0.8,0.84,True
123,3,13,Puerro,1.0,0.86,True
124,3,13,Repollo,0.4,0.77,True
125,3,13,Tomate,0.5,0.94,True
126,3,13,Tomate cherry,1.5,1.0,True
127,3,14,Zumo de aloe vera,2.5,1.0,True
128,3,14,Zumo de tomate natural,1.5,1.0,True
129,3,14,Zumo de zanahoria natural,1.5,1.0,True
130,4,15,Crema de almendras,12.0,1.0,True
131,4,15,Crema de cacahuete,4.0,1.0,True
132,4,15,Dulce de membrillo y pastas de frutas,3.0,1.0,True
133,4,15,Mermelada de albaricoque y melocotón,2.5,1.0,True
134,4,15,Mermelada de albaricoque y melocotón baja en calorías,3.5,1.0,True
