id_ingrediente,energia_kcal,agua_g,alcohol_g,proteinas_g,hidratos_carbono_g,almidon_g,azucares_sencillos_g,azucares_libres_g,fibra_vegetal_g,grasa_total_g,ags_g,agm_g,agp_g,colesterol_mg,vitamina_a_eq_retinol_ug,retinol_ug,carotenoides_eq_beta_caroteno_ug,vit_d_ug,vit_e_eq_alpha_tocoferol_mg,vit_k_ug,vitamina_b1_mg,vitamina_b2_mg,eq_niacina_mg,vit_b6_mg,eq_folato_dietetico_ug,vit_b12_ug,pantotenico_mg,biotina_ug,vit_c_mg,calcio_mg,fosforo_mg,hierro_mg,iodo_ug,cinc_mg,magnesio_mg,sodio_mg,potasio_mg,manganeso_mg,cobre_mg,selenio_ug,omega3_g,tipo_omega3,grasas_trans_g,polifenoles_mg,probioticos_billones_ufc
1,365.0,9.4,0.0,11.2,73.1,72.4,0.66,0.0,4.2,2.1,0.32,0.24,0.81,0.0,1.8,0.0,11.0,0.0,2.2,2.8,0.52,0.2,4.7,0.15,57.0,0.0,0.68,0.0,0.0,36.0,349.0,3.5,0.0,3.6,111.0,17.0,521.0,0.0,0.66,70.7,0.03,ALA,0.0,40.0,0.0
2,364.0,9.4,0.0,6.7,81.6,81.4,0.16,0.0,1.4,0.9,0.19,0.23,0.32,0.0,0.0,0.0,0.0,0.0,0.076,1.0,0.05,0.04,4.9,0.2,20.0,0.0,0.0,3.0,20.0,14.0,150.0,0.8,14.0,1.5,31.0,3.9,109.0,1.2,2.0,7.0,0.01,ALA,0.0,1.0,0.0
3,349.0,12.9,0.0,6.9,78.2,78.2,0.0,0.0,1.4,0.6,0.15,0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.22,0.06,4.7,0.38,20.0,0.0,1.1,3.0,0.0,34.0,150.0,1.4,14.0,1.8,31.0,4.0,150.0,1.2,0.37,10.0,0.0,N/A,0.0,0.0,0.0
4,350.0,14.2,0.0,7.3,74.1,72.7,1.4,0.0,2.2,2.2,0.61,0.55,0.81,0.0,0.0,0.0,0.0,0.0,0.74,1.0,0.41,0.09,6.6,0.28,49.0,0.0,1.5,12.0,0.0,21.0,310.0,1.7,2.2,1.6,110.0,10.0,238.0,2.1,0.29,10.0,0.04,ALA,0.0,25.0,0.0
5,353.0,15.8,0.0,11.7,55.7,55.7,0.0,0.0,9.7,7.1,1.5,2.6,2.9,0.0,0.0,0.0,0.0,0.0,0.84,50.0,0.67,0.17,3.4,0.96,33.0,0.0,0.71,13.0,0.0,80.0,342.0,5.8,7.7,3.2,129.0,8.4,355.0,3.1,0.42,7.1,0.11,ALA,0.0,80.0,0.0
6,330.0,10.1,0.0,9.9,62.1,61.3,0.8,0.0,15.6,1.2,0.24,0.15,0.56,0.0,2.2,0.0,13.0,0.0,0.02,2.2,0.19,0.11,4.6,0.26,23.0,0.0,0.28,0.0,0.0,29.0,221.0,2.5,0.0,2.1,79.0,9.0,280.0,1.3,0.42,37.7,0.08,ALA,0.0,72.9,0.0
7,372.0,0.0,0.0,14.8,65.2,64.2,1.1,0.0,14.6,2.5,0.29,0.3,1.1,0.0,1.2,0.0,7.0,0.0,1.9,5.9,0.32,0.25,4.3,0.29,38.0,0.0,1.5,0.0,0.0,33.0,374.0,2.7,10.0,3.7,121.0,6.0,264.0,0.0,0.45,35.3,0.06,ALA,0.0,65.0,0.0
8,356.0,10.9,0.0,0.41,88.0,88.0,0.0,0.0,0.6,0.08,0.011,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008,0.03,0.005,1.0,0.0,0.0,0.0,0.0,1.0,30.0,0.5,2.5,0.3,2.0,3.0,7.0,1.0,0.05,2.8,0.0,N/A,0.0,0.0,0.0
9,349.0,11.9,0.0,7.6,78.0,77.9,0.12,0.0,0.0,0.7,0.2,0.22,0.19,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.14,0.021,2.6,0.44,4.0,0.0,0.0,0.0,0.0,10.0,98.0,0.35,0.0,0.8,35.0,0.0,76.0,0.0,0.0,0.0,0.01,ALA,0.0,1.0,0.0
10,326.0,13.4,0.0,10.0,59.7,59.7,0.0,0.0,15.0,1.9,0.24,0.2,0.85,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.3,0.2,1.6,0.3,70.0,0.0,0.0,0.0,0.0,27.0,286.0,2.6,0.0,3.0,82.0,2.0,390.0,0.0,0.0,14.4,0.04,ALA,0.0,45.0,0.0
