id,codigo,nombre,unidad_medida,id_clasificacion,activo
1,ENERGIA_KCAL,Energía (kcal),,7,True
2,AGUA_G,Agua (g),g,7,True
3,ALCOHOL_G,Alcohol (g),g,7,True
4,PROTEINAS_G,Proteínas (g),g,1,True
5,HC_G,H. de Carbono (g),g,1,True
6,ALMIDON_G,Almidón (g),g,1,True
7,AZUCARES_SENCILLOS_G,Azúcares sencillos (g),g,1,True
8,AZUCARES_LIBRES_G,Azúcares libres (g),g,1,True
9,FIBRA_VEGETAL_G,Fibra vegetal (g),g,1,True
10,GRASA_TOTAL_G,Grasa total (g),g,1,True
11,AGS_G,AGS (g),g,4,True
12,AGM_G,AGM (g),g,4,True
13,AGP_G,AGP (g),g,4,True
14,COLESTEROL_MG,Colesterol (mg),mg,7,True
15,VITAMINA_A_EQ_RETINOL_UG,Vitamina A Eq. Retinol (µg),µg,2,True
16,RETINOL_UG,Retinol (µg),µg,2,True
17,CAROTENOIDES_EQ_BETA_CAROTENO_UG,Carotenoides Eq. ß-caroteno (µg),µg,2,True
18,VIT_D_UG,Vit. D (µg),µg,2,True
19,VIT_E_EQ_ALPHA_TOCOFEROL_MG,Vit. E Eq. a-tocoferol (mg),mg,2,True
20,VIT_K_UG,Vit. K (µg),µg,2,True
21,VITAMINA_B1_MG,Vitamina B1 (mg),mg,2,True
22,VITAMINA_B2_MG,Vitamina B2 (mg),mg,2,True
23,EQ_NIACINA_MG,Eq. de Niacina (mg),mg,2,True
24,VIT_B6_MG,Vit. B6 (mg),mg,2,True
25,EQ_FOLATO_DIETETICO_UG,Eq. Folato dietético (µg),µg,2,True
26,VIT_B12_UG,Vit. B12 (µg),µg,2,True
27,PANTOTENICO_MG,Pantoténico (mg),mg,2,True
28,BIOTINA_UG,Biotina (µg),µg,2,True
29,VIT_C_MG,Vit. C (mg),mg,2,True
30,CALCIO_MG,Calcio (mg),mg,3,True
31,FOSFORO_MG,Fósforo (mg),mg,3,True
32,HIERRO_MG,Hierro (mg),mg,3,True
33,IODO_UG,Iodo (µg),µg,3,True
34,CINC_MG,Cinc (mg),mg,3,True
35,MAGNESIO_MG,Magnesio (mg),mg,3,True
36,SODIO_MG,Sodio (mg),mg,3,True
37,POTASIO_MG,Potasio (mg),mg,3,True
38,MANGANESO_MG,Manganeso (mg),mg,3,True
39,COBRE_MG,Cobre (mg),mg,3,True
40,SELENIO_UG,Selenio (µg),µg,3,True
41,OMEGA3_G,Omega-3 (g),g,4,True
42,GRASAS_TRANS_G,Grasas Trans (g),g,4,True
43,POLIFENOLES_MG,Polifenoles (mg),mg,5,True
44,PROBIOTICOS_BILLONES_UFC,Probióticos (Billones UFC),Billones UFC,6,True
