ref_code,sexo,edad_meses,edad_dias,medida_cm,l,m,s,stdev,p01,p1,p3,p5,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99,p999,source_file
WFL,M,,,45,-0.3521,2.441,0.09182,,1.863,1.987,2.064,2.107,2.175,2.223,2.296,2.441,2.599,2.689,2.753,2.851,2.917,3.048,3.292,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,45.1,-0.3521,2.4577,0.09176,,1.876,2.001,2.079,2.122,2.19,2.238,2.312,2.458,2.616,2.707,2.771,2.87,2.937,3.068,3.313,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,45.2,-0.3521,2.4744,0.0917,,1.889,2.014,2.093,2.136,2.205,2.254,2.328,2.474,2.634,2.726,2.79,2.889,2.956,3.089,3.335,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,45.3,-0.3521,2.4911,0.09164,,1.902,2.028,2.107,2.151,2.22,2.269,2.343,2.491,2.652,2.744,2.809,2.908,2.976,3.109,3.357,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,45.4,-0.3521,2.5078,0.09159,,1.915,2.042,2.122,2.165,2.235,2.284,2.359,2.508,2.669,2.762,2.827,2.928,2.996,3.13,3.379,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,45.5,-0.3521,2.5244,0.09153,,1.928,2.056,2.136,2.18,2.25,2.299,2.375,2.524,2.687,2.78,2.846,2.947,3.015,3.15,3.401,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,45.6,-0.3521,2.5411,0.09147,,1.941,2.07,2.15,2.195,2.265,2.315,2.391,2.541,2.705,2.798,2.864,2.966,3.035,3.17,3.422,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,45.7,-0.3521,2.5578,0.09141,,1.954,2.084,2.165,2.209,2.28,2.33,2.406,2.558,2.722,2.817,2.883,2.985,3.054,3.191,3.444,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,45.8,-0.3521,2.5744,0.09135,,1.967,2.097,2.179,2.224,2.295,2.345,2.422,2.574,2.74,2.835,2.901,3.004,3.074,3.211,3.466,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,45.9,-0.3521,2.5911,0.09129,,1.98,2.111,2.193,2.238,2.31,2.361,2.438,2.591,2.758,2.853,2.92,3.023,3.093,3.231,3.488,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46,-0.3521,2.6077,0.09124,,1.993,2.125,2.207,2.253,2.325,2.376,2.454,2.608,2.775,2.871,2.938,3.042,3.113,3.251,3.509,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46.1,-0.3521,2.6244,0.09118,,2.006,2.139,2.222,2.268,2.34,2.391,2.469,2.624,2.793,2.889,2.957,3.062,3.132,3.272,3.531,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46.2,-0.3521,2.6411,0.09112,,2.019,2.153,2.236,2.282,2.356,2.407,2.485,2.641,2.81,2.907,2.976,3.081,3.152,3.292,3.553,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46.3,-0.3521,2.6578,0.09106,,2.032,2.167,2.251,2.297,2.371,2.422,2.501,2.658,2.828,2.926,2.994,3.1,3.171,3.312,3.575,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46.4,-0.3521,2.6745,0.091,,2.045,2.181,2.265,2.311,2.386,2.438,2.517,2.675,2.846,2.944,3.013,3.119,3.191,3.333,3.596,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46.5,-0.3521,2.6913,0.09094,,2.059,2.195,2.279,2.326,2.401,2.453,2.533,2.691,2.863,2.962,3.031,3.138,3.211,3.353,3.618,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46.6,-0.3521,2.7081,0.09088,,2.072,2.209,2.294,2.341,2.416,2.468,2.549,2.708,2.881,2.98,3.05,3.158,3.23,3.373,3.64,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46.7,-0.3521,2.7249,0.09083,,2.085,2.222,2.308,2.356,2.431,2.484,2.565,2.725,2.899,2.999,3.069,3.177,3.25,3.394,3.662,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46.8,-0.3521,2.7417,0.09077,,2.098,2.236,2.323,2.37,2.446,2.499,2.581,2.742,2.917,3.017,3.087,3.196,3.27,3.414,3.684,wfl-boys-percentiles-expanded-tables.xlsx
WFL,M,,,46.9,-0.3521,2.7586,0.09071,,2.111,2.251,2.337,2.385,2.462,2.515,2.597,2.759,2.935,3.035,3.106,3.216,3.289,3.435,3.706,wfl-boys-percentiles-expanded-tables.xlsx
