nombre_archivo,indicador_codigo,sexo_codigo,tipo_archivo,filas_leidas,filas_insertadas,estado,mensaje
bfa-boys-percentiles-expanded-tables.xlsx,BMI,M,percentil,1857,1857,ok,
bfa-boys-zscore-expanded-tables.xlsx,BMI,M,zscore_lms,1857,1857,ok,
bfa-girls-percentiles-expanded-tables.xlsx,BMI,F,percentil,1857,1857,ok,
bfa-girls-zscore-expanded-tables.xlsx,BMI,F,zscore_lms,1857,1857,ok,
lhfa-boys-percentiles-expanded-tables(1).xlsx,HFA,M,percentil,1857,1857,ok,
lhfa-boys-zscore-expanded-tables(1).xlsx,HFA,M,zscore_lms,1857,1857,ok,
lhfa-girls-percentiles-expanded-tables(1).xlsx,HFA,F,percentil,1857,1857,ok,
lhfa-girls-zscore-expanded-tables(1).xlsx,HFA,F,zscore_lms,1857,1857,ok,
wfa-boys-percentiles-expanded-tables.xlsx,WFA,M,percentil,1857,1857,ok,
wfa-boys-zscore-expanded-tables.xlsx,WFA,M,zscore_lms,1857,1857,ok,
wfa-girls-percentiles-expanded-tables.xlsx,WFA,F,percentil,1857,1857,ok,
wfa-girls-zscore-expanded-tables.xlsx,WFA,F,zscore_lms,1857,1857,ok,
bmi-boys-perc-who2007-exp(1).xlsx,BMI,M,percentil,168,168,ok,
bmi-boys-z-who-2007-exp(1).xlsx,BMI,M,zscore_lms,168,168,ok,
bmi-girls-perc-who2007-exp(1).xlsx,BMI,F,percentil,168,168,ok,
bmi-girls-z-who-2007-exp.xlsx,BMI,F,zscore_lms,168,168,ok,
hfa-boys-perc-who2007-exp(1).xlsx,HFA,M,percentil,168,168,ok,
hfa-boys-z-who-2007-exp(1).xlsx,HFA,M,zscore_lms,168,168,ok,
hfa-girls-perc-who2007-exp(1).xlsx,HFA,F,percentil,168,168,ok,
hfa-girls-z-who-2007-exp.xlsx,HFA,F,zscore_lms,168,168,ok,
hfa-boys-perc-who2007-exp_07eb5053-9a09-4910-aa6b-c7fb28012ce6(1).xlsx,WFA,M,percentil,60,60,ok,
hfa-boys-z-who-2007-exp_0ff9c43c-8cc0-4c23-9fc6-81290675e08b(1).xlsx,WFA,M,zscore_lms,60,60,ok,
hfa-girls-perc-who2007-exp_6040a43e-81da-48fa-a2d4-5c856fe4fe71(1).xlsx,WFA,F,percentil,60,60,ok,
hfa-girls-z-who-2007-exp_7ea58763-36a2-436d-bef0-7fcfbadd2820(1).xlsx,WFA,F,zscore_lms,60,60,ok,
