id,curva_id,indicador_codigo,sexo_codigo,edad_meses,edad_dias,l,m,s,stdev,activo
1,1,BMI,M,,0,-0.30530000,13.40690000,0.09560000,,true
2,1,BMI,M,,1,-0.18670000,13.39760000,0.09597000,,true
3,1,BMI,M,,2,-0.06810000,13.38830000,0.09634000,,true
4,1,BMI,M,,3,0.05050000,13.37910000,0.09672000,,true
5,1,BMI,M,,4,0.16900000,13.36980000,0.09709000,,true
6,1,BMI,M,,5,0.28760000,13.36060000,0.09746000,,true
7,1,BMI,M,,6,0.40620000,13.35130000,0.09784000,,true
8,1,BMI,M,,7,0.52470000,13.34210000,0.09821000,,true
9,1,BMI,M,,8,0.50940000,13.38430000,0.09769000,,true
10,1,BMI,M,,9,0.49410000,13.42650000,0.09716000,,true
11,1,BMI,M,,10,0.47890000,13.46870000,0.09664000,,true
12,1,BMI,M,,11,0.46360000,13.51100000,0.09611000,,true
13,1,BMI,M,,12,0.44830000,13.55320000,0.09559000,,true
14,1,BMI,M,,13,0.43300000,13.59540000,0.09507000,,true
15,1,BMI,M,,14,0.41770000,13.63770000,0.09454000,,true
16,1,BMI,M,,15,0.40590000,13.71740000,0.09416000,,true
17,1,BMI,M,,16,0.39460000,13.80060000,0.09380000,,true
18,1,BMI,M,,17,0.38390000,13.88540000,0.09347000,,true
19,1,BMI,M,,18,0.37350000,13.97070000,0.09315000,,true
20,1,BMI,M,,19,0.36360000,14.05580000,0.09285000,,true
21,1,BMI,M,,20,0.35410000,14.14040000,0.09257000,,true
22,1,BMI,M,,21,0.34490000,14.22410000,0.09230000,,true
23,1,BMI,M,,22,0.33600000,14.30650000,0.09204000,,true
24,1,BMI,M,,23,0.32740000,14.38770000,0.09180000,,true
25,1,BMI,M,,24,0.31910000,14.46750000,0.09156000,,true
26,1,BMI,M,,25,0.31100000,14.54570000,0.09134000,,true
27,1,BMI,M,,26,0.30320000,14.62250000,0.09112000,,true
28,1,BMI,M,,27,0.29550000,14.69770000,0.09092000,,true
29,1,BMI,M,,28,0.28810000,14.77140000,0.09072000,,true
30,1,BMI,M,,29,0.28090000,14.84360000,0.09053000,,true
31,1,BMI,M,,30,0.27380000,14.91400000,0.09035000,,true
