source_file,ref_code_detectado,tipo_tabla,sexo,usado_en_csv_limpio,filas_datos,columnas,primer_valor_clave,ultimo_valor_clave,sha256,nota
bmi-boys-perc-who2007-exp (1).xlsx,BMI,percentil,M,SI,168,19,61,228,e5dc43f1e6b245f83dfa5e19d1a2023e15bee757004269e9d0bc17fbc512d533,canónico importado
bmi-boys-z-who-2007-exp (1).xlsx,BMI,zscore,M,SI,168,13,61,228,0a60849673f34a06b8e2fe4defe5d00348de687b6c9fce0278f1525fff89eb6d,canónico importado
bmi-girls-perc-who2007-exp (1).xlsx,BMI,percentil,F,SI,168,19,61,228,b45ad98d39f2a2723152ad3d80bf7c4735264513574dea6340209b07172e0b27,canónico importado
bmi-girls-z-who-2007-exp (1).xlsx,BMI,zscore,F,SI,168,13,61,228,66f5c6284b44579ad6135fc639f22c09e36fe5a695b04390377113f6a00deb72,canónico importado
hfa-boys-perc-who2007-exp (1).xlsx,HFA,percentil,M,SI,168,20,61,228,9aaf9f08039f84c64d1a1c95b94286cbe0e87e43409fcd009e5fe0cc67ac66ea,canónico importado
hfa-boys-perc-who2007-exp_07eb5053-9a09-4910-aa6b-c7fb28012ce6 (1).xlsx,WFA,percentil,M,SI,60,19,61,120,33ebb6e89e64599d093fc78091941047881793a0baed79ce3528749588ad397b,"canónico importado; el nombre original dice hfa, pero los valores corresponden a peso/edad 5-10 años"
hfa-boys-z-who-2007-exp (1).xlsx,HFA,zscore,M,SI,168,15,61,228,d78fa8cafcab77dcb5f03d71506d92bdcb28f89c642816b6bb0eef466b007466,canónico importado
hfa-boys-z-who-2007-exp_0ff9c43c-8cc0-4c23-9fc6-81290675e08b (1).xlsx,WFA,zscore,M,SI,60,13,61,120,a6ed0d9f3cfa209747afe49f7503b7cc24a1be6b6a8e7222e85a36b7850cb99f,"canónico importado; el nombre original dice hfa, pero los valores corresponden a peso/edad 5-10 años"
hfa-girls-perc-who2007-exp (1).xlsx,HFA,percentil,F,SI,168,20,61,228,0f04c643731981f92f0069475bbcc39451fc5ce937b5de2c8da6fa20bf5dff3c,canónico importado
hfa-girls-perc-who2007-exp_6040a43e-81da-48fa-a2d4-5c856fe4fe71 (1).xlsx,WFA,percentil,F,SI,60,19,61,120,3a2c217d6220f53d55c366f7661ab07f6f241e0653849f04165ba45f342bea0b,"canónico importado; el nombre original dice hfa, pero los valores corresponden a peso/edad 5-10 años"
