id,id_curva,indicador_codigo,sexo_codigo,edad_valor,percentil_codigo,percentil,valor
1,1,BMI,M,61,P01,0.1,12.041
2,1,BMI,M,61,P1,1.0,12.72
3,1,BMI,M,61,P3,3.0,13.148
4,1,BMI,M,61,P5,5.0,13.384
5,1,BMI,M,61,P10,10.0,13.764
6,1,BMI,M,61,P15,15.0,14.03
7,1,BMI,M,61,P25,25.0,14.441
8,1,BMI,M,61,P50,50.0,15.264
9,1,BMI,M,61,P75,75.0,16.172
10,1,BMI,M,61,P85,85.0,16.7
11,1,BMI,M,61,P90,90.0,17.074
12,1,BMI,M,61,P95,95.0,17.656
13,1,BMI,M,61,P97,97.0,18.052
14,1,BMI,M,61,P99,99.0,18.845
15,1,BMI,M,61,P999,99.9,20.355
16,1,BMI,M,62,P01,0.1,12.039
17,1,BMI,M,62,P1,1.0,12.716
18,1,BMI,M,62,P3,3.0,13.144
19,1,BMI,M,62,P5,5.0,13.38
20,1,BMI,M,62,P10,10.0,13.759
21,1,BMI,M,62,P15,15.0,14.026
22,1,BMI,M,62,P25,25.0,14.437
23,1,BMI,M,62,P50,50.0,15.262
24,1,BMI,M,62,P75,75.0,16.173
25,1,BMI,M,62,P85,85.0,16.703
26,1,BMI,M,62,P90,90.0,17.079
27,1,BMI,M,62,P95,95.0,17.665
28,1,BMI,M,62,P97,97.0,18.065
29,1,BMI,M,62,P99,99.0,18.865
30,1,BMI,M,62,P999,99.9,20.392
31,1,BMI,M,63,P01,0.1,12.037
32,1,BMI,M,63,P1,1.0,12.714
33,1,BMI,M,63,P3,3.0,13.14
34,1,BMI,M,63,P5,5.0,13.377
35,1,BMI,M,63,P10,10.0,13.756
36,1,BMI,M,63,P15,15.0,14.023
37,1,BMI,M,63,P25,25.0,14.434
38,1,BMI,M,63,P50,50.0,15.26
39,1,BMI,M,63,P75,75.0,16.175
40,1,BMI,M,63,P85,85.0,16.708
41,1,BMI,M,63,P90,90.0,17.086
42,1,BMI,M,63,P95,95.0,17.677
43,1,BMI,M,63,P97,97.0,18.08
44,1,BMI,M,63,P99,99.0,18.887
45,1,BMI,M,63,P999,99.9,20.432
46,1,BMI,M,64,P01,0.1,12.037
47,1,BMI,M,64,P1,1.0,12.712
48,1,BMI,M,64,P3,3.0,13.138
49,1,BMI,M,64,P5,5.0,13.374
50,1,BMI,M,64,P10,10.0,13.754
51,1,BMI,M,64,P15,15.0,14.02
52,1,BMI,M,64,P25,25.0,14.432
53,1,BMI,M,64,P50,50.0,15.26
54,1,BMI,M,64,P75,75.0,16.179
55,1,BMI,M,64,P85,85.0,16.714
56,1,BMI,M,64,P90,90.0,17.095
57,1,BMI,M,64,P95,95.0,17.689
58,1,BMI,M,64,P97,97.0,18.096
59,1,BMI,M,64,P99,99.0,18.911
60,1,BMI,M,64,P999,99.9,20.474
61,1,BMI,M,65,P01,0.1,12.038
62,1,BMI,M,65,P1,1.0,12.711
63,1,BMI,M,65,P3,3.0,13.137
64,1,BMI,M,65,P5,5.0,13.373
65,1,BMI,M,65,P10,10.0,13.752
66,1,BMI,M,65,P15,15.0,14.019
67,1,BMI,M,65,P25,25.0,14.432
68,1,BMI,M,65,P50,50.0,15.262
69,1,BMI,M,65,P75,75.0,16.184
70,1,BMI,M,65,P85,85.0,16.722
71,1,BMI,M,65,P90,90.0,17.106
72,1,BMI,M,65,P95,95.0,17.704
73,1,BMI,M,65,P97,97.0,18.114
74,1,BMI,M,65,P99,99.0,18.937
75,1,BMI,M,65,P999,99.9,20.519
76,1,BMI,M,66,P01,0.1,12.039
77,1,BMI,M,66,P1,1.0,12.712
78,1,BMI,M,66,P3,3.0,13.137
79,1,BMI,M,66,P5,5.0,13.373
80,1,BMI,M,66,P10,10.0,13.752
81,1,BMI,M,66,P15,15.0,14.019
82,1,BMI,M,66,P25,25.0,14.432
83,1,BMI,M,66,P50,50.0,15.264
84,1,BMI,M,66,P75,75.0,16.191
85,1,BMI,M,66,P85,85.0,16.732
86,1,BMI,M,66,P90,90.0,17.118
87,1,BMI,M,66,P95,95.0,17.721
88,1,BMI,M,66,P97,97.0,18.134
89,1,BMI,M,66,P99,99.0,18.965
90,1,BMI,M,66,P999,99.9,20.567
91,1,BMI,M,67,P01,0.1,12.042
92,1,BMI,M,67,P1,1.0,12.713
93,1,BMI,M,67,P3,3.0,13.138
94,1,BMI,M,67,P5,5.0,13.374
95,1,BMI,M,67,P10,10.0,13.753
96,1,BMI,M,67,P15,15.0,14.02
97,1,BMI,M,67,P25,25.0,14.434
98,1,BMI,M,67,P50,50.0,15.268
99,1,BMI,M,67,P75,75.0,16.198
100,1,BMI,M,67,P85,85.0,16.743
101,1,BMI,M,67,P90,90.0,17.131
102,1,BMI,M,67,P95,95.0,17.739
103,1,BMI,M,67,P97,97.0,18.156
104,1,BMI,M,67,P99,99.0,18.995
105,1,BMI,M,67,P999,99.9,20.618
106,1,BMI,M,68,P01,0.1,12.045
107,1,BMI,M,68,P1,1.0,12.715
108,1,BMI,M,68,P3,3.0,13.14
109,1,BMI,M,68,P5,5.0,13.376
110,1,BMI,M,68,P10,10.0,13.755
111,1,BMI,M,68,P15,15.0,14.023
112,1,BMI,M,68,P25,25.0,14.437
113,1,BMI,M,68,P50,50.0,15.274
114,1,BMI,M,68,P75,75.0,16.208
115,1,BMI,M,68,P85,85.0,16.755
116,1,BMI,M,68,P90,90.0,17.146
117,1,BMI,M,68,P95,95.0,17.759
118,1,BMI,M,68,P97,97.0,18.18
119,1,BMI,M,68,P99,99.0,19.028
120,1,BMI,M,68,P999,99.9,20.671
121,1,BMI,M,69,P01,0.1,12.049
122,1,BMI,M,69,P1,1.0,12.718
123,1,BMI,M,69,P3,3.0,13.143
124,1,BMI,M,69,P5,5.0,13.379
125,1,BMI,M,69,P10,10.0,13.758
126,1,BMI,M,69,P15,15.0,14.026
127,1,BMI,M,69,P25,25.0,14.441
128,1,BMI,M,69,P50,50.0,15.28
129,1,BMI,M,69,P75,75.0,16.218
130,1,BMI,M,69,P85,85.0,16.769
131,1,BMI,M,69,P90,90.0,17.163
132,1,BMI,M,69,P95,95.0,17.78
133,1,BMI,M,69,P97,97.0,18.205
134,1,BMI,M,69,P99,99.0,19.062
135,1,BMI,M,69,P999,99.9,20.726
136,1,BMI,M,70,P01,0.1,12.054
137,1,BMI,M,70,P1,1.0,12.722
138,1,BMI,M,70,P3,3.0,13.146
139,1,BMI,M,70,P5,5.0,13.382
140,1,BMI,M,70,P10,10.0,13.762
141,1,BMI,M,70,P15,15.0,14.031
142,1,BMI,M,70,P25,25.0,14.446
