id,punto_id,fuente_archivo,p01,p1,p3,p5,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99,p999
1,1,bfa-boys-percentiles-expanded-tables.xlsx,10.104000,10.811000,11.254000,11.498000,11.888000,12.160000,12.578000,13.407000,14.309000,14.826000,15.190000,15.751000,16.130000,16.879000,18.272000
2,2,bfa-boys-percentiles-expanded-tables.xlsx,10.038000,10.765000,11.218000,11.467000,11.864000,12.140000,12.563000,13.398000,14.299000,14.813000,15.173000,15.726000,16.098000,16.829000,18.177000
3,3,bfa-boys-percentiles-expanded-tables.xlsx,9.971000,10.718000,11.182000,11.436000,11.839000,12.120000,12.548000,13.388000,14.289000,14.799000,15.156000,15.701000,16.066000,16.781000,18.086000
4,4,bfa-boys-percentiles-expanded-tables.xlsx,9.900000,10.670000,11.144000,11.404000,11.815000,12.100000,12.533000,13.379000,14.279000,14.786000,15.139000,15.676000,16.035000,16.734000,18.000000
5,5,bfa-boys-percentiles-expanded-tables.xlsx,9.827000,10.620000,11.106000,11.371000,11.790000,12.079000,12.518000,13.370000,14.270000,14.773000,15.122000,15.652000,16.004000,16.687000,17.916000
6,6,bfa-boys-percentiles-expanded-tables.xlsx,9.750000,10.568000,11.067000,11.338000,11.765000,12.059000,12.503000,13.361000,14.260000,14.759000,15.105000,15.627000,15.974000,16.642000,17.835000
7,7,bfa-boys-percentiles-expanded-tables.xlsx,9.670000,10.515000,11.027000,11.304000,11.739000,12.038000,12.487000,13.351000,14.250000,14.746000,15.088000,15.604000,15.944000,16.598000,17.757000
8,8,bfa-boys-percentiles-expanded-tables.xlsx,9.586000,10.460000,10.986000,11.270000,11.713000,12.017000,12.472000,13.342000,14.240000,14.733000,15.071000,15.580000,15.914000,16.555000,17.682000
9,9,bfa-boys-percentiles-expanded-tables.xlsx,9.644000,10.512000,11.036000,11.318000,11.760000,12.063000,12.517000,13.384000,14.280000,14.773000,15.111000,15.620000,15.954000,16.595000,17.723000
10,10,bfa-boys-percentiles-expanded-tables.xlsx,9.701000,10.565000,11.086000,11.367000,11.807000,12.109000,12.561000,13.427000,14.321000,14.813000,15.151000,15.659000,15.994000,16.635000,17.764000
11,11,bfa-boys-percentiles-expanded-tables.xlsx,9.758000,10.617000,11.136000,11.416000,11.854000,12.155000,12.606000,13.469000,14.362000,14.853000,15.191000,15.699000,16.033000,16.675000,17.805000
12,12,bfa-boys-percentiles-expanded-tables.xlsx,9.815000,10.670000,11.187000,11.465000,11.902000,12.201000,12.650000,13.511000,14.402000,14.893000,15.230000,15.738000,16.072000,16.714000,17.846000
13,13,bfa-boys-percentiles-expanded-tables.xlsx,9.872000,10.723000,11.237000,11.514000,11.949000,12.247000,12.695000,13.553000,14.443000,14.933000,15.270000,15.777000,16.111000,16.753000,17.886000
14,14,bfa-boys-percentiles-expanded-tables.xlsx,9.929000,10.775000,11.287000,11.563000,11.996000,12.293000,12.739000,13.595000,14.483000,14.973000,15.309000,15.816000,16.151000,16.793000,17.927000
15,15,bfa-boys-percentiles-expanded-tables.xlsx,9.987000,10.828000,11.337000,11.612000,12.043000,12.339000,12.784000,13.638000,14.524000,15.012000,15.349000,15.855000,16.189000,16.831000,17.966000
16,16,bfa-boys-percentiles-expanded-tables.xlsx,10.065000,10.905000,11.414000,11.690000,12.121000,12.417000,12.863000,13.717000,14.605000,15.095000,15.432000,15.941000,16.276000,16.920000,18.060000
17,17,bfa-boys-percentiles-expanded-tables.xlsx,10.144000,10.985000,11.494000,11.770000,12.201000,12.498000,12.944000,13.801000,14.691000,15.182000,15.520000,16.030000,16.367000,17.014000,18.159000
18,18,bfa-boys-percentiles-expanded-tables.xlsx,10.223000,11.065000,11.575000,11.850000,12.283000,12.580000,13.027000,13.885000,14.778000,15.271000,15.611000,16.123000,16.460000,17.110000,18.261000
19,19,bfa-boys-percentiles-expanded-tables.xlsx,10.303000,11.145000,11.655000,11.932000,12.365000,12.662000,13.110000,13.971000,14.866000,15.361000,15.701000,16.215000,16.555000,17.207000,18.364000
20,20,bfa-boys-percentiles-expanded-tables.xlsx,10.381000,11.224000,11.735000,12.012000,12.446000,12.744000,13.193000,14.056000,14.954000,15.450000,15.792000,16.308000,16.649000,17.305000,18.467000
21,21,bfa-boys-percentiles-expanded-tables.xlsx,10.459000,11.303000,11.815000,12.092000,12.526000,12.825000,13.275000,14.140000,15.041000,15.539000,15.883000,16.401000,16.743000,17.402000,18.569000
