id,punto_id,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,fuente_archivo
1,1,,9.235000,10.184000,11.133000,12.201000,13.407000,14.773000,16.326000,18.100000,19.874000,bfa-boys-zscore-expanded-tables.xlsx
2,2,,9.147000,10.121000,11.095000,12.182000,13.398000,14.760000,16.290000,18.012000,19.733000,bfa-boys-zscore-expanded-tables.xlsx
3,3,,9.056000,10.056000,11.056000,12.162000,13.388000,14.747000,16.254000,17.927000,19.599000,bfa-boys-zscore-expanded-tables.xlsx
4,4,,8.961000,9.988000,11.015000,12.143000,13.379000,14.734000,16.219000,17.845000,19.472000,bfa-boys-zscore-expanded-tables.xlsx
5,5,,8.861000,9.918000,10.974000,12.123000,13.370000,14.721000,16.185000,17.767000,19.349000,bfa-boys-zscore-expanded-tables.xlsx
6,6,,8.757000,9.844000,10.932000,12.103000,13.361000,14.709000,16.151000,17.691000,19.231000,bfa-boys-zscore-expanded-tables.xlsx
7,7,,8.647000,9.768000,10.889000,12.083000,13.351000,14.696000,16.118000,17.618000,19.118000,bfa-boys-zscore-expanded-tables.xlsx
8,8,,8.531000,9.688000,10.844000,12.062000,13.342000,14.683000,16.085000,17.547000,19.009000,bfa-boys-zscore-expanded-tables.xlsx
9,9,,8.594000,9.744000,10.895000,12.108000,13.384000,14.723000,16.125000,17.588000,19.052000,bfa-boys-zscore-expanded-tables.xlsx
10,10,,8.657000,9.801000,10.946000,12.154000,13.426000,14.763000,16.164000,17.629000,19.094000,bfa-boys-zscore-expanded-tables.xlsx
11,11,,8.719000,9.858000,10.996000,12.200000,13.469000,14.803000,16.203000,17.670000,19.136000,bfa-boys-zscore-expanded-tables.xlsx
12,12,,8.782000,9.914000,11.047000,12.246000,13.511000,14.843000,16.243000,17.710000,19.177000,bfa-boys-zscore-expanded-tables.xlsx
13,13,,8.844000,9.971000,11.098000,12.292000,13.553000,14.883000,16.282000,17.750000,19.219000,bfa-boys-zscore-expanded-tables.xlsx
