id,id_regla_version,id_subetiqueta,prioridad_evaluacion,tipo_evaluacion
1,1,1,1,FIRST_MATCH
2,1,2,2,FIRST_MATCH
3,1,3,3,FIRST_MATCH
4,1,4,4,ELSE
5,2,5,1,FIRST_MATCH
6,2,6,2,FIRST_MATCH
7,2,7,3,ELSE
8,3,8,1,FIRST_MATCH
9,3,9,2,FIRST_MATCH
10,3,10,3,ELSE
11,4,11,1,FIRST_MATCH
12,4,12,2,FIRST_MATCH
13,4,13,3,ELSE
14,5,14,1,FIRST_MATCH
15,5,15,2,FIRST_MATCH
16,5,16,3,FIRST_MATCH
17,5,17,4,ELSE
18,6,18,1,FIRST_MATCH
19,6,19,2,FIRST_MATCH
20,6,20,3,FIRST_MATCH
21,6,21,4,ELSE
22,7,22,1,FIRST_MATCH
23,7,23,2,FIRST_MATCH
24,7,24,3,FIRST_MATCH
25,7,25,4,ELSE
26,8,26,1,FIRST_MATCH
27,8,27,2,FIRST_MATCH
28,8,28,3,ELSE
29,9,29,1,FIRST_MATCH
30,9,30,2,FIRST_MATCH
31,9,31,3,ELSE
32,10,32,1,FIRST_MATCH
33,10,33,2,FIRST_MATCH
34,10,34,3,ELSE
35,11,35,1,FIRST_MATCH
36,11,36,2,FIRST_MATCH
37,11,37,3,ELSE
38,12,38,1,FIRST_MATCH
39,12,39,2,FIRST_MATCH
40,12,40,3,ELSE
41,13,41,1,FIRST_MATCH
42,13,42,2,ELSE
43,14,43,1,FIRST_MATCH
44,14,44,2,FIRST_MATCH
45,14,45,3,FIRST_MATCH
46,14,46,4,ELSE
47,15,47,1,FIRST_MATCH
48,15,48,2,FIRST_MATCH
49,15,49,3,FIRST_MATCH
50,15,50,4,ELSE
51,16,51,1,FIRST_MATCH
52,16,52,2,FIRST_MATCH
53,16,53,3,ELSE
