id,id_grupo_alimentario,id_subgrupo_alimentario,nombre,precio_libra,factor_parte_comestible,activo,created_at,updated_at
1,1,1,Malta,1.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
2,1,2,Arroz,0.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
3,1,2,Arroz blanco de cocción rápida,0.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
4,1,2,Arroz integral,0.8,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
5,1,2,Avena,0.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
6,1,2,Cebada,1.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
7,1,2,Centeno,0.7,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
8,1,2,Fécula de maíz,0.6,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
9,1,2,Harina de arroz,1.2,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
10,1,2,Harina de centeno,1.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
11,1,2,Harina de maíz,0.6,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
12,1,2,Harina de trigo,0.45,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
13,1,2,Harina integral de trigo,0.7,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
14,1,2,Máchica,0.8,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
15,1,2,Maíz en grano hervido en lata,1.8,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
16,1,2,Maíz en mazorca crudo,0.5,0.59,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
17,1,2,Maíz en mazorca hervido,0.8,0.59,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
18,1,2,Quinoa,1.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
19,1,2,Sémola de trigo,1.1,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
20,1,3,Masa de hojaldre congelada,2.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
21,1,3,Masa quebrada,2.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
22,1,3,Pan blanco,0.8,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
23,1,3,Pan blanco sin sal,1.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
24,1,3,Pan blanco tipo baguette,1.2,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
25,1,3,Pan blanco tostado,1.8,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
26,1,3,Pan blanco tostado sin sal,2.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
27,1,3,Pan de avena,1.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
28,1,3,Pan de cebada,1.2,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
29,1,3,Pan de centeno,2.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
30,1,3,Pan de pita,2.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
31,1,3,Pan de trigo y centeno,2.2,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
32,1,3,Pan integral,1.2,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
33,1,3,Pan integral tostado,2.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
34,1,3,Pan sin gluten,4.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
35,1,3,Pan tipo hamburguesa,1.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
36,1,3,Pan tipo picatoste con omega 3,3.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
37,1,3,Panecillos hechos con aceite de oliva,2.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
38,1,3,Picatostes,3.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
39,1,4,Cuscús,2.8,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
40,1,4,Pasta,0.9,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
41,1,4,Pasta al huevo,1.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
42,1,4,Pasta de colores,1.4,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
43,1,4,Pasta fresca cocida,3.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
44,1,4,Pasta integral,1.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
45,1,4,Pasta rellena de carne hervida,4.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
46,1,4,Pasta rellena de queso hervida,4.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
47,2,5,Batido fermentado de soja,2.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
48,2,5,Bebida de soja,1.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
49,2,5,Brote de soja,1.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
50,2,5,Fideos de soja,3.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
51,2,5,Hamburguesa vegetal,4.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
52,2,5,Harina de soja,1.8,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
53,2,5,Lecitina de soja,8.0,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
54,2,5,Lentejas,0.8,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
55,2,5,Salchicha vegetal,4.5,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
56,2,5,Tempeh,4.6,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
57,2,6,Garbanzo en conserva,1.8,1.00,t,2026-04-07 02:48:18.072293,2026-04-07 02:48:18.072293
