id,id_grupo_alimentario,nombre
1,1,Cereales de desayuno
2,1,Granos y harinas
3,1,Panes
4,1,Pastas
5,2,Derivados de legumbres
6,2,Legumbres en conserva
7,2,Legumbres secas
8,3,Setas en conserva
9,3,Setas frescas
10,3,Tubérculos y raíces
11,3,Verduras congeladas
12,3,Verduras en conserva
13,3,Verduras frescas
14,3,Zumos naturales de verduras
15,4,Derivados de frutas
16,4,Frutas desecadas
17,4,Frutas frescas
18,4,Frutos secos (y similares)
19,4,Zumos naturales de frutas
20,5,Leches
21,5,Natas
22,5,Quesos
23,5,Yogures y leches fermentadas
24,6,Huevos
25,7,Aves
26,7,Cerdo
27,7,Cordero
28,7,Embutidos
29,7,Otras carnes
30,7,Vacuno
31,7,Vísceras
32,8,Mariscos y derivados
33,8,Pescado azul
34,8,Pescado blanco
35,8,Pescados ahumados
36,8,Pescados en conserva
37,8,Salazones de pescado
38,9,Aceites
39,9,Mantequillas y margarinas
40,9,Otras grasas
41,10,Condimentos
42,10,Salsas
43,11,Azúcares
44,11,Chocolates
45,11,Dulces
46,11,Galletas
47,11,Otros dulces
48,12,Aperitivos
49,13,Bebidas isotónicas
50,13,Bebidas sin alcohol
51,13,Cafés e infusiones
52,13,Otras bebidas no alcohólicas
53,13,Zumos y néctares comerciales
