id,codigo,nombre_visible,origen_tipo,referencia_columna,tipo_dato,unidad_medida,activo
1,ALCOHOL_G,Alcohol (g),COMPOSICION,alcohol_g,NUMERICO,g,t
2,AGS_G,AGS (g),COMPOSICION,ags_g,NUMERICO,g,t
3,AGP_G,AGP (g),COMPOSICION,agp_g,NUMERICO,g,t
4,OMEGA3_G,Omega-3 (g),COMPOSICION,omega3_g,NUMERICO,g,t
5,POLIFENOLES_MG,Polifenoles (mg),COMPOSICION,polifenoles_mg,NUMERICO,mg,t
6,GRASAS_TRANS_G,Grasas Trans (g),COMPOSICION,grasas_trans_g,NUMERICO,g,t
7,TIPO_OMEGA3,Tipo_Omega_3,COMPOSICION,tipo_omega3,TEXTO,,t
8,NOMBRE,Nombre,COMPOSICION,nombre,TEXTO,,t
9,DENSIDAD_PROTEICA,Densidad_Proteica,METRICA,Densidad_Proteica,NUMERICO,g/kcal,t
10,DENSIDAD_FIBRA,Densidad_Fibra,METRICA,Densidad_Fibra,NUMERICO,g/kcal,t
11,DENSIDAD_CALCIO,Densidad_Calcio,METRICA,Densidad_Calcio,NUMERICO,mg/kcal,t
12,DENSIDAD_HIERRO,Densidad_Hierro,METRICA,Densidad_Hierro,NUMERICO,mg/kcal,t
13,DENSIDAD_SODIO,Densidad_Sodio,METRICA,Densidad_Sodio,NUMERICO,mg/kcal,t
14,RELACION_AGP_AGS,Relacion_AGP_AGS,METRICA,Relacion_AGP_AGS,NUMERICO,ratio,t
15,RELACION_CA_P,Relacion_Ca_P,METRICA,Relacion_Ca_P,NUMERICO,ratio,t
16,CARGA_GRASA_SATURADA,Carga_Grasa_Saturada,METRICA,Carga_Grasa_Saturada,NUMERICO,g/kcal,t
17,RETENCI_N_DE_L_QUIDOS,Retención de Líquidos,METRICA,Retención de Líquidos,NUMERICO,ratio,t
18,PROPORCI_N_DE_AZ_CAR_EN_EL_CARBOHIDRATO,Proporción de Azúcar en el Carbohidrato,METRICA,Proporción de Azúcar en el Carbohidrato,NUMERICO,ratio,t
19,RATIO_FIBRA,Ratio Fibra,METRICA,Ratio Fibra,NUMERICO,ratio,t
20,PORCENTAJE_DE_CALOR_AS_PROVENIENTES_DE_LAS_GRASAS,Porcentaje de Calorías provenientes de las Grasas,METRICA,Porcentaje de Calorías provenientes de las Grasas,NUMERICO,ratio,t
21,DENSIDAD_DE_MAGNESIO,Densidad de Magnesio,METRICA,Densidad de Magnesio,NUMERICO,mg/kcal,t
