id,id_etiqueta,version_numero,estado,observacion,publicada_por,fecha_publicacion,created_at
1,1,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
2,2,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
3,3,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
4,4,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
5,5,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
6,6,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
7,7,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
8,8,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
9,9,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
10,10,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
11,11,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
12,12,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
13,13,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
14,14,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
15,15,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
16,16,1,PUBLICADA,Versión inicial importada desde fuente,,2026-04-07 00:00:00,2026-04-07 00:00:00
