id,codigo,nombre_visible
1,ETIQUETA_DE_DENSIDAD_PROTEICA,Etiqueta de Densidad Proteica
2,ETIQUETA__DENSIDAD_FIBRA,Etiqueta  Densidad Fibra
3,ETIQUETA_DENSIDAD_CALCIO,Etiqueta Densidad Calcio
4,ETIQUETA_DENSIDAD_HIERRO,Etiqueta Densidad Hierro
5,ETIQUETA_DENSIDAD_SODIO,Etiqueta Densidad Sodio
6,ETIQUETA_RELACION_AGP_/_AGS,Etiqueta Relación AGP / AGS
7,ETIQUETA_PORCENTAJE_DE_CALORIAS_DE_LAS_GRASAS,Etiqueta Porcentaje de Calorías de las Grasas
8,RETENCION_DE_LIQUIDOS_(NA_/_K),Retención de Líquidos (Na / K)
9,ETIQUETA_DENSIDAD_MAGNESIO,Etiqueta Densidad Magnesio
10,ETIQUETA_OMEGA_3,Etiqueta_Omega_3
11,ETIQUETA_GRASAS_TRANS,Etiqueta_Grasas_Trans
12,ETIQUETA_POLIFENOLES,Etiqueta_Polifenoles
13,ETIQUETA_PROBIOTICOS,Etiqueta_Probióticos
14,ETIQUETA_INFLAMATORIO,Etiqueta_Inflamatorio
15,ETIQUETA_IRRITANTE,Etiqueta_Irritante
16,INDICE_INFLAMATORIO_DE_GRASAS,Índice Inflamatorio de Grasas
