id_ingrediente,energia_kcal,agua_g,alcohol_g,proteinas_g,hidratos_carbono_g,almidon_g,azucares_sencillos_g,azucares_libres_g,fibra_vegetal_g,grasa_total_g,ags_g,agm_g,agp_g,colesterol_mg,vitamina_a_eq_retinol_ug,retinol_ug,carotenoides_eq_beta_caroteno_ug,vit_d_ug,vit_e_eq_alpha_tocoferol_mg,vit_k_ug,vitamina_b1_mg,vitamina_b2_mg,eq_niacina_mg,vit_b6_mg,eq_folato_dietetico_ug,vit_b12_ug,pantotenico_mg,biotina_ug,vit_c_mg,calcio_mg,fosforo_mg,hierro_mg,iodo_ug,cinc_mg,magnesio_mg,sodio_mg,potasio_mg,manganeso_mg,cobre_mg,selenio_ug,omega3_g,tipo_omega3,grasas_trans_g,polifenoles_mg,probioticos_billones_ufc
422,900.000,0.010,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,100.000,15.600,21.200,58.800,0.000,0.000,0.000,0.00000000,0.000,16.800,138.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,ALA,0.000,0.000,0.000
528,0.000,100.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,3.000,1.000,0.300,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
453,73.000,73.300,0.000,16.000,0.00000000,0.00000000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.760,1.900,16.000,0.930,1000.000,0.000,0.000,0.000,0.000,20.000,440.000,3.800,0.000,0.000,115.000,25.000,630.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
433,891.000,1.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,99.000,40.600,43.000,9.800,93.000,0.000,0.000,0.00000000,0.000,1.600,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.000,0.100,9.700,0.000,1.000,1.000,1.000,0.000,0.020,0.000,0.000,0,0.000,0.000,0.000
474,4.000,97.000,0.000,0.400,0.60000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,8.000,0.450,0.000,0.030,4.000,8.000,39.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
520,390.000,3.000,0.000,0.000,96.70000000,0.00000000,96.700,96.700,0.000,0.300,0.042,0.079,0.140,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,4.000,0.000,0.000,0.600,0.000,0,0.000,0.000,0.000
473,2.400,99.000,0.000,0.400,0.20000000,0.00000000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.000,32.000,0.500,0.000,0.100,22.000,20.000,89.000,0.000,0.000,1.000,0.000,0,0.000,0.000,0.000
521,2.700,3.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,0.300,0.042,0.079,0.140,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,4.000,0.000,0.000,0.600,0.000,0,0.000,0.000,0.000
534,0.000,100.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,36.000,0.000,0.000,0.060,1.000,21.000,19.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
464,0.000,0.200,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.000,8.000,0.200,44.000,0.100,290.000,38850.000,0.000,0.100,0.100,0.100,0.000,0,0.000,0.000,0.000
526,0.000,100.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
420,899.000,0.100,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,99.900,47.800,37.100,10.400,0.000,9.300,4.100,31.00000000,8.000,9.500,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
73,382.000,4.600,0.000,0.500,94.30000000,94.30000000,0.000,0.000,0.400,0.200,0.050,0.050,0.030,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.010,0.010,0.010,0.010,0.010,0.000,0.000,0.000,0.000,11.000,20.000,1.000,0.000,0.000,3.000,4.000,20.000,0.000,0.000,0.800,0.000,0,0.000,0.000,0.000
536,0.400,99.900,0.000,0.000,0.10000000,0.00000000,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,12.000,0.030,0.000,0.030,1.000,7.000,4.000,0.009,0.010,0.100,0.000,0,0.000,0.000,0.000
527,0.000,100.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
127,15.000,96.200,0.000,0.000,3.80000000,0.00000000,3.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.800,8.000,0.000,0.150,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0,0.000,30.000,0.000
56,104.000,76.000,0.000,18.000,3.50000000,3.00000000,0.500,0.000,0.000,1.500,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.078,0.360,2.600,0.220,24.000,0.080,0.000,0.000,0.000,111.000,266.000,2.700,0.000,1.100,81.000,9.000,412.000,0.000,0.000,0.000,0.350,ALA,0.000,110.000,1.000
9,349.000,11.900,0.000,7.600,78.00000000,77.90000000,0.120,0.000,0.000,0.700,0.200,0.220,0.190,0.000,0.000,0.000,0.00000000,0.000,0.110,0.000,0.140,0.021,2.600,0.440,4.000,0.000,0.000,0.000,0.000,10.000,98.000,0.350,0.000,0.800,35.000,0.000,76.000,0.000,0.000,0.000,0.010,ALA,0.000,1.000,0.000
525,0.000,100.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,1.000,111.000,5.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
158,0.000,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
421,900.000,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,100.000,14.200,39.700,41.700,0.000,0.000,0.000,0.00000000,0.000,4.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
531,0.320,99.900,0.000,0.010,0.07000000,0.00000000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,1.000,8.000,0.000,1.000,15.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
132,259.000,33.600,0.000,1.000,62.20000000,0.00000000,62.200,24.900,3.200,0.000,0.000,0.000,0.000,0.000,2.000,0.000,12.00000000,0.000,0.000,0.000,0.010,0.010,0.100,0.000,0.000,0.000,0.020,0.000,0.000,4.000,6.000,0.300,0.000,0.100,3.000,1.000,90.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000
