id,id_ingrediente,id_nutriente,valor_por_100g
1,1,1,365.00000000
2,1,2,9.40000000
3,1,3,0.00000000
4,1,4,11.20000000
5,1,5,73.10000000
6,1,6,72.40000000
7,1,7,0.66000000
8,1,8,0.00000000
9,1,9,4.20000000
10,1,10,2.10000000
11,1,11,0.32000000
12,1,12,0.24000000
13,1,13,0.81000000
14,1,14,0.00000000
15,1,15,1.80000000
16,1,16,0.00000000
17,1,17,11.00000000
18,1,18,0.00000000
19,1,19,2.20000000
20,1,20,2.80000000
21,1,21,0.52000000
22,1,22,0.20000000
23,1,23,4.70000000
24,1,24,0.15000000
25,1,25,57.00000000
26,1,26,0.00000000
27,1,27,0.68000000
28,1,28,0.00000000
29,1,29,0.00000000
30,1,30,36.00000000
31,1,31,349.00000000
32,1,32,3.50000000
33,1,33,0.00000000
34,1,34,3.60000000
35,1,35,111.00000000
36,1,36,17.00000000
37,1,37,521.00000000
38,1,38,0.00000000
39,1,39,0.66000000
40,1,40,70.70000000
41,1,41,0.03000000
42,1,42,0.00000000
43,1,43,40.00000000
44,1,44,0.00000000
45,2,1,364.00000000
46,2,2,9.40000000
47,2,3,0.00000000
48,2,4,6.70000000
49,2,5,81.60000000
50,2,6,81.40000000
51,2,7,0.16000000
52,2,8,0.00000000
53,2,9,1.40000000
54,2,10,0.90000000
55,2,11,0.19000000
56,2,12,0.23000000
57,2,13,0.32000000
58,2,14,0.00000000
59,2,15,0.00000000
60,2,16,0.00000000
61,2,17,0.00000000
62,2,18,0.00000000
63,2,19,0.07600000
64,2,20,1.00000000
65,2,21,0.05000000
66,2,22,0.04000000
67,2,23,4.90000000
68,2,24,0.20000000
69,2,25,20.00000000
70,2,26,0.00000000
71,2,27,0.00000000
72,2,28,3.00000000
73,2,29,20.00000000
74,2,30,14.00000000
75,2,31,150.00000000
76,2,32,0.80000000
77,2,33,14.00000000
78,2,34,1.50000000
79,2,35,31.00000000
80,2,36,3.90000000
81,2,37,109.00000000
82,2,38,1.20000000
83,2,39,2.00000000
84,2,40,7.00000000
85,2,41,0.01000000
86,2,42,0.00000000
87,2,43,1.00000000
88,2,44,0.00000000
89,3,1,349.00000000
90,3,2,12.90000000
91,3,3,0.00000000
92,3,4,6.90000000
93,3,5,78.20000000
94,3,6,78.20000000
95,3,7,0.00000000
96,3,8,0.00000000
97,3,9,1.40000000
98,3,10,0.60000000
99,3,11,0.15000000
100,3,12,0.17000000
101,3,13,0.20000000
102,3,14,0.00000000
103,3,15,0.00000000
104,3,16,0.00000000
105,3,17,0.00000000
106,3,18,0.00000000
107,3,19,0.10000000
108,3,20,1.00000000
109,3,21,0.22000000
110,3,22,0.06000000
111,3,23,4.70000000
112,3,24,0.38000000
113,3,25,20.00000000
114,3,26,0.00000000
115,3,27,1.10000000
116,3,28,3.00000000
117,3,29,0.00000000
118,3,30,34.00000000
119,3,31,150.00000000
120,3,32,1.40000000
121,3,33,14.00000000
122,3,34,1.80000000
123,3,35,31.00000000
124,3,36,4.00000000
125,3,37,150.00000000
126,3,38,1.20000000
127,3,39,0.37000000
128,3,40,10.00000000
129,3,41,0.00000000
130,3,42,0.00000000
131,3,43,0.00000000
132,3,44,0.00000000
133,4,1,350.00000000
134,4,2,14.20000000
135,4,3,0.00000000
136,4,4,7.30000000
137,4,5,74.10000000
138,4,6,72.70000000
139,4,7,1.40000000
140,4,8,0.00000000
141,4,9,2.20000000
142,4,10,2.20000000
143,4,11,0.61000000
144,4,12,0.55000000
145,4,13,0.81000000
146,4,14,0.00000000
147,4,15,0.00000000
148,4,16,0.00000000
149,4,17,0.00000000
150,4,18,0.00000000
151,4,19,0.74000000
152,4,20,1.00000000
153,4,21,0.41000000
154,4,22,0.09000000
155,4,23,6.60000000
156,4,24,0.28000000
157,4,25,49.00000000
158,4,26,0.00000000
159,4,27,1.50000000
160,4,28,12.00000000
161,4,29,0.00000000
162,4,30,21.00000000
163,4,31,310.00000000
164,4,32,1.70000000
165,4,33,2.20000000
166,4,34,1.60000000
167,4,35,110.00000000
168,4,36,10.00000000
169,4,37,238.00000000
170,4,38,2.10000000
171,4,39,0.29000000
172,4,40,10.00000000
173,4,41,0.04000000
174,4,42,0.00000000
175,4,43,25.00000000
176,4,44,0.00000000
177,5,1,353.00000000
178,5,2,15.80000000
179,5,3,0.00000000
180,5,4,11.70000000
181,5,5,55.70000000
182,5,6,55.70000000
183,5,7,0.00000000
184,5,8,0.00000000
185,5,9,9.70000000
186,5,10,7.10000000
187,5,11,1.50000000
188,5,12,2.60000000
189,5,13,2.90000000
190,5,14,0.00000000
191,5,15,0.00000000
192,5,16,0.00000000
193,5,17,0.00000000
194,5,18,0.00000000
195,5,19,0.84000000
196,5,20,50.00000000
197,5,21,0.67000000
198,5,22,0.17000000
199,5,23,3.40000000
200,5,24,0.96000000
201,5,25,33.00000000
202,5,26,0.00000000
203,5,27,0.71000000
204,5,28,13.00000000
205,5,29,0.00000000
206,5,30,80.00000000
207,5,31,342.00000000
208,5,32,5.80000000
209,5,33,7.70000000
210,5,34,3.20000000
211,5,35,129.00000000
212,5,36,8.40000000
213,5,37,355.00000000
214,5,38,3.10000000
215,5,39,0.42000000
216,5,40,7.10000000
217,5,41,0.11000000
218,5,42,0.00000000
219,5,43,80.00000000
220,5,44,0.00000000
221,6,1,330.00000000
222,6,2,10.10000000
223,6,3,0.00000000
224,6,4,9.90000000
225,6,5,62.10000000
226,6,6,61.30000000
227,6,7,0.80000000
228,6,8,0.00000000
229,6,9,15.60000000
230,6,10,1.20000000
231,6,11,0.24000000
232,6,12,0.15000000
233,6,13,0.56000000
234,6,14,0.00000000
