id,id_ingrediente,sinonimo
1,3,Arroz instantáneo
2,8,Maicena
3,14,Tostado; Gofio canario
4,54,brotes
5,72,Almido de papa
6,79,mandioca
7,79,casava
8,101,Brócoli
9,118,Col Morada
10,148,Palta
11,158,fresón
12,158,frutilla
13,167,Achotillo
14,185,pulpa
15,191,maní con cascara
16,192,maní frito salado sin sal
17,193,maní pelado
18,222,Queso amasado ecuatoriano
19,225,Queso criollo
20,230,Queso fresco ecuatoriano
21,231,Queso fresco
22,232,Queso manaba
23,234,Mozzarella
24,235,Mozzarella ecuatoriana
25,273,pollo
26,496,jarabe
