id,id_grupo_condicion,id_campo_catalogo,operador,valor_numerico,valor_texto_directo,orden_condicion
1,1,8,>,0.20000000,,1
2,2,8,>,0.15000000,,1
3,3,8,>,0.10000000,,1
4,4,9,>,0.03000000,,1
5,5,9,>,0.01500000,,1
6,6,10,>,1.50000000,,1
7,7,10,>,0.80000000,,1
8,8,11,>,0.01500000,,1
9,9,11,>,0.00800000,,1
10,10,12,>,2.00000000,,1
11,11,12,>,1.00000000,,1
12,12,12,>,0.50000000,,1
13,13,13,>,2.00000000,,1
14,14,13,>,1.00000000,,1
15,15,13,>,0.50000000,,1
16,16,19,>,0.40000000,,1
17,17,19,>,0.30000000,,1
18,18,19,>,0.20000000,,1
19,19,16,>,1.00000000,,1
20,20,16,>,0.50000000,,1
21,21,20,>,0.50000000,,1
22,22,20,>,0.20000000,,1
23,23,5,>=,0.50000000,,1
24,24,5,>,0.10000000,,1
25,25,7,>,0.50000000,,1
26,26,7,>,0.00000000,,1
27,27,6,>=,50.00000000,,1
28,28,6,>=,10.00000000,,1
29,29,21,>=,1.00000000,,1
30,30,7,>,0.50000000,,1
31,30,3,>,15.00000000,,2
32,30,2,>,0.00000000,,3
33,31,5,>=,0.50000000,,1
34,31,6,>=,50.00000000,,2
35,32,7,>,0.00000000,,1
36,32,3,>,5.00000000,,2
37,33,1,CONTIENE,,miel,1
38,34,2,>,0.00000000,,1
39,34,1,CONTIENE,,cacao,2
40,34,1,CONTIENE,,chocolate puro,3
41,35,3,>,15.00000000,,1
42,35,16,>,1.00000000,,2
43,36,1,CONTIENE,,chocolate,1
44,37,5,=,0.00000000,,1
45,38,4,FORMULA_GT,,((AGP_G - OMEGA3_G) / OMEGA3_G) > 4,1
