id,codigo,nombre_visible,descripcion,activa,creada_por,created_at
1,ETIQUETA_DE_DENSIDAD_PROTEICA,Etiqueta de Densidad Proteica,Etiqueta de Densidad Proteica,t,,2026-04-07 06:46:26.14183
2,ETIQUETA_DENSIDAD_FIBRA,Etiqueta  Densidad Fibra,Etiqueta  Densidad Fibra,t,,2026-04-07 06:46:26.14183
3,ETIQUETA_DENSIDAD_CALCIO,Etiqueta Densidad Calcio,Etiqueta Densidad Calcio,t,,2026-04-07 06:46:26.14183
4,ETIQUETA_DENSIDAD_HIERRO,Etiqueta Densidad Hierro,Etiqueta Densidad Hierro,t,,2026-04-07 06:46:26.14183
5,ETIQUETA_DENSIDAD_SODIO,Etiqueta Densidad Sodio,Etiqueta Densidad Sodio,t,,2026-04-07 06:46:26.14183
6,ETIQUETA_RELACION_AGP_AGS,Etiqueta Relación AGP / AGS,Etiqueta Relación AGP / AGS,t,,2026-04-07 06:46:26.14183
7,ETIQUETA_PORCENTAJE_DE_CALORIAS_DE_LAS_GRASAS,Etiqueta Porcentaje de Calorías de las Grasas,Etiqueta Porcentaje de Calorías de las Grasas,t,,2026-04-07 06:46:26.14183
8,RETENCION_DE_LIQUIDOS_NA_K,Retención de Líquidos (Na / K),Retención de Líquidos (Na / K),t,,2026-04-07 06:46:26.14183
9,ETIQUETA_DENSIDAD_MAGNESIO,Etiqueta Densidad Magnesio,Etiqueta Densidad Magnesio,t,,2026-04-07 06:46:26.14183
10,ETIQUETA_OMEGA_3,Etiqueta_Omega_3,Etiqueta_Omega_3,t,,2026-04-07 06:46:26.14183
11,ETIQUETA_GRASAS_TRANS,Etiqueta_Grasas_Trans,Etiqueta_Grasas_Trans,t,,2026-04-07 06:46:26.14183
12,ETIQUETA_POLIFENOLES,Etiqueta_Polifenoles,Etiqueta_Polifenoles,t,,2026-04-07 06:46:26.14183
13,ETIQUETA_PROBIOTICOS,Etiqueta_Probióticos,Etiqueta_Probióticos,t,,2026-04-07 06:46:26.14183
14,ETIQUETA_INFLAMATORIO,Etiqueta_Inflamatorio,Etiqueta_Inflamatorio,t,,2026-04-07 06:46:26.14183
15,ETIQUETA_IRRITANTE,Etiqueta_Irritante,Etiqueta_Irritante,t,,2026-04-07 06:46:26.14183
16,INDICE_INFLAMATORIO_DE_GRASAS,Índice Inflamatorio de Grasas,Índice Inflamatorio de Grasas,t,,2026-04-07 06:46:26.14183
