indicador_codigo,sexo_codigo,meses,l,m,s,stdev,p01,p1,p3,p5,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99,source
IMC_EDAD,F,61,-0.8886,15.2441,0.09692,,11.689,12.412,12.874,13.133,13.55,13.846,14.306,15.244,16.306,16.936,17.388,18.103,18.598,19.605,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,62,-0.9068,15.2434,0.09738,,11.682,12.405,12.868,13.126,13.544,13.84,14.301,15.243,16.311,16.945,17.402,18.124,18.624,19.643,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,63,-0.9248,15.2433,0.09783,,11.676,12.399,12.861,13.12,13.538,13.835,14.298,15.243,16.317,16.956,17.416,18.145,18.65,19.681,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,64,-0.9427,15.2438,0.09829,,11.671,12.393,12.855,13.114,13.533,13.831,14.294,15.244,16.324,16.967,17.431,18.167,18.677,19.721,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,65,-0.9605,15.2448,0.09875,,11.665,12.387,12.85,13.109,13.529,13.827,14.292,15.245,16.331,16.979,17.447,18.189,18.705,19.763,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,66,-0.978,15.2464,0.0992,,11.661,12.382,12.845,13.104,13.525,13.824,14.29,15.246,16.339,16.991,17.463,18.212,18.734,19.804,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,67,-0.9954,15.2487,0.09966,,11.657,12.378,12.841,13.1,13.521,13.821,14.288,15.249,16.347,17.005,17.481,18.237,18.764,19.848,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,68,-1.0126,15.2516,0.10012,,11.653,12.374,12.837,13.097,13.518,13.819,14.287,15.252,16.357,17.019,17.499,18.262,18.795,19.892,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,69,-1.0296,15.2551,0.10058,,11.649,12.37,12.834,13.094,13.516,13.817,14.287,15.255,16.367,17.034,17.518,18.289,18.827,19.938,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,70,-1.0464,15.2592,0.10104,,11.646,12.367,12.831,13.091,13.514,13.816,14.287,15.259,16.377,17.049,17.537,18.316,18.86,19.985,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,71,-1.063,15.2641,0.10149,,11.645,12.365,12.829,13.09,13.513,13.816,14.288,15.264,16.388,17.065,17.558,18.344,18.894,20.033,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,72,-1.0794,15.2697,0.10195,,11.643,12.363,12.828,13.089,13.513,13.816,14.29,15.27,16.401,17.083,17.579,18.373,18.929,20.082,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,73,-1.0956,15.276,0.10241,,11.642,12.362,12.827,13.088,13.513,13.817,14.292,15.276,16.414,17.101,17.601,18.403,18.966,20.133,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,74,-1.1115,15.2831,0.10287,,11.641,12.361,12.826,13.088,13.514,13.818,14.295,15.283,16.427,17.12,17.625,18.434,19.003,20.186,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,75,-1.1272,15.2911,0.10333,,11.641,12.361,12.827,13.089,13.516,13.821,14.299,15.291,16.442,17.14,17.649,18.466,19.042,20.239,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,76,-1.1427,15.2998,0.10379,,11.642,12.362,12.828,13.09,13.518,13.824,14.303,15.3,16.458,17.161,17.674,18.5,19.081,20.295,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,77,-1.1579,15.3095,0.10425,,11.643,12.363,12.83,13.093,13.521,13.828,14.309,15.31,16.475,17.183,17.701,18.534,19.123,20.352,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,78,-1.1728,15.32,0.10471,,11.645,12.365,12.832,13.096,13.525,13.832,14.315,15.32,16.492,17.206,17.728,18.57,19.165,20.41,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,79,-1.1875,15.3314,0.10517,,11.647,12.368,12.836,13.099,13.53,13.838,14.322,15.331,16.511,17.23,17.757,18.607,19.209,20.47,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,80,-1.2019,15.3439,0.10562,,11.651,12.372,12.84,13.104,13.535,13.844,14.33,15.344,16.53,17.255,17.787,18.645,19.254,20.531,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,81,-1.216,15.3572,0.10608,,11.654,12.376,12.845,13.11,13.542,13.851,14.339,15.357,16.551,17.281,17.818,18.685,19.3,20.594,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
